Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Satisfaction Encoded,Membership Encoded,Avg Spend Per Item,Spend Per Age,Recent Buyer,High Spender,RFM_Score,Loyalty Score,CustomerSegment
101,Female,29,New York,Gold,1120.2,14,4.6,1,25,Satisfied,3,2.0,80.01428571428572,38.62758620689655,1,1,9,0.7412698412698413,2
102,Male,34,Los Angeles,Silver,780.5,11,4.1,0,18,Neutral,2,1.0,70.95454545454545,22.955882352941178,1,1,7,0.5857142857142857,3
103,Female,43,Chicago,Bronze,510.75,9,3.4,1,42,Unsatisfied,1,0.0,56.75,11.877906976744184,0,0,2,0.2333333333333333,1
104,Male,30,San Francisco,Gold,1480.3,19,4.7,0,12,Satisfied,3,2.0,77.91052631578947,49.34333333333333,1,1,13,0.8238095238095238,2
105,Male,27,Miami,Silver,720.4,13,4.0,1,55,Unsatisfied,1,1.0,55.41538461538461,26.68148148148148,0,0,5,0.2507936507936508,3
106,Female,37,Houston,Bronze,440.8,8,3.1,0,22,Neutral,2,0.0,55.1,11.913513513513514,1,0,3,0.4603174603174603,1
107,Female,31,New York,Gold,1150.6,15,4.5,1,28,Satisfied,3,2.0,76.70666666666666,37.11612903225806,1,1,8,0.7222222222222222,2
108,Male,35,Los Angeles,Silver,800.9,12,4.2,0,14,Neutral,2,1.0,66.74166666666666,22.88285714285714,1,1,9,0.611111111111111,3
109,Female,41,Chicago,Bronze,495.25,10,3.6,1,40,Unsatisfied,1,0.0,49.525,12.079268292682928,0,0,3,0.246031746031746,1
110,Male,28,San Francisco,Gold,1520.1,21,4.8,0,9,Satisfied,3,2.0,72.38571428571429,54.28928571428571,1,1,13,0.8428571428571429,2
111,Male,32,Miami,Silver,690.3,11,3.8,1,34,Unsatisfied,1,1.0,62.75454545454545,21.571875,0,0,4,0.3841269841269841,3
112,Female,36,Houston,Bronze,470.5,7,3.2,0,20,Neutral,2,0.0,67.21428571428571,13.069444444444445,1,0,4,0.473015873015873,1
113,Female,30,New York,Gold,1200.8,16,4.3,1,21,Satisfied,3,2.0,75.05,40.02666666666666,1,1,10,0.7666666666666666,2
114,Male,33,Los Angeles,Silver,820.75,13,4.4,0,15,Satisfied,3,1.0,63.13461538461539,24.87121212121212,1,1,9,0.7047619047619048,3
115,Female,42,Chicago,Bronze,530.4,9,3.5,1,38,Unsatisfied,1,0.0,58.93333333333333,12.628571428571428,0,0,3,0.2587301587301587,1
