Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
10000,Female,35,Miami,Bronze,1190.8,12,4.5,True,29,Satisfied
10001,Male,35,Miami,Bronze,440.5,13,4.2,False,13,Unsatisfied
10002,Female,31,Houston,Gold,520.4,16,3.4,True,13,Neutral
10003,Male,36,Houston,Gold,1190.8,21,3.0,True,13,Satisfied
10004,Male,37,Miami,Silver,1190.8,10,3.2,True,38,Satisfied
10005,Male,43,Los Angeles,Silver,1160.6,9,4.5,True,23,Neutral
10006,Female,37,New York,Gold,710.4,10,4.6,False,47,Neutral
10007,Female,37,San Francisco,Silver,700.4,14,3.3,True,37,Satisfied
10008,Female,37,San Francisco,Silver,430.8,10,4.6,True,14,Neutral
10009,Female,34,New York,Silver,1160.6,11,4.0,True,32,Neutral
10010,Female,33,Miami,Bronze,1160.6,10,3.1,False,54,Unsatisfied
10011,Female,30,Miami,Bronze,1120.2,16,4.5,True,50,Unsatisfied
10012,Female,33,Houston,Gold,1370.2,11,4.2,True,13,Neutral
10013,Male,34,Chicago,Bronze,800.2,15,4.7,False,21,Neutral
10014,Female,30,New York,Silver,520.4,18,4.9,False,10,Neutral
10015,Female,37,Los Angeles,Gold,780.9,10,3.5,False,40,Neutral
10016,Male,36,New York,Bronze,830.75,16,4.1,True,19,Unsatisfied
10017,Male,32,Miami,Bronze,1490.1,8,4.5,True,54,Unsatisfied
10018,Female,42,Chicago,Gold,430.8,10,3.6,False,25,Satisfied
10019,Female,31,Chicago,Gold,485.25,11,4.6,False,13,Unsatisfied
10020,Male,41,New York,Gold,1490.1,7,3.1,True,40,Unsatisfied
10021,Female,32,Houston,Bronze,520.4,16,4.1,False,24,Unsatisfied
10022,Male,27,New York,Silver,1420.8,11,3.1,False,27,Neutral
10023,Female,30,Chicago,Gold,1180.8,16,4.8,True,60,Unsatisfied
10024,Female,30,San Francisco,Bronze,1160.3,19,3.3,True,33,Satisfied
10025,Female,28,Los Angeles,Bronze,430.8,11,4.6,True,53,Unsatisfied
10026,Male,37,Los Angeles,Bronze,830.75,8,3.4,False,10,Unsatisfied
10027,Male,42,Miami,Silver,690.3,7,3.1,True,10,Unsatisfied
10028,Female,30,Chicago,Bronze,450.8,11,4.5,True,58,Satisfied
10029,Female,41,Los Angeles,Bronze,430.8,15,4.0,False,31,Neutral
10030,Male,31,San Francisco,Bronze,1460.5,13,4.8,False,22,Unsatisfied
